127.0.0.1 - - [16/Dec/2015:21:06:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:06:10 +0800] "GET /Yang/login.html HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:06:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:06:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:07:51 +0800] "GET /Yang/login.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:07:54 +0800] "GET /Login HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:08:08 +0800] "GET /Login HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:08:11 +0800] "GET /Yang/login.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:08:12 +0800] "GET /Yang/Login HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:11:30 +0800] "GET /Yang/Login HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:11:57 +0800] "GET /Yang/login.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:12:02 +0800] "GET /Yang/Login HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:12:25 +0800] "GET /Yang/Login HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:12:31 +0800] "GET /Yang/login.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [16/Dec/2015:21:12:34 +0800] "GET /Yang/Login?username=%E9%98%BF%E6%96%AF%E9%A1%BF HTTP/1.1" 200 16
